"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat May 02 21:16:28 UTC 2026","Sat May 02 21:16:42 UTC 2026","14523","webkit","e2e/navegacao.spec.ts","Navegação — anônimo e logado","","","@core fluxo Home → Melhores momentos → Home (anônimo)",""
"failed","Sat May 02 21:15:44 UTC 2026","Sat May 02 21:15:47 UTC 2026","3256","firefox","e2e/navegacao.spec.ts","Navegação — anônimo e logado > logado","","","@core tabs LOGADO: contagem >=3 (Partidas/Melhores/Calendário no mínimo)",""
"failed","Sat May 02 21:14:11 UTC 2026","Sat May 02 21:14:28 UTC 2026","16525","mobile-chrome","e2e/calendar-mensal.spec.ts","Calendar mensal — home widget","","","@core click ""Go to next month"" altera o heading do mês visível",""
"passed","Sat May 02 21:12:50 UTC 2026","Sat May 02 21:12:50 UTC 2026","21","firefox","bootstrap.smoke.spec.ts","","","","@smoke bootstrap — runner saudável",""
"passed","Sat May 02 21:14:57 UTC 2026","Sat May 02 21:15:05 UTC 2026","7245","firefox","e2e/melhores-momentos.spec.ts","Página /melhores-momentos","","","@smoke @core carrega filtros + heading ""Melhores momentos das Partidas Finalizadas""",""
"passed","Sat May 02 21:12:45 UTC 2026","Sat May 02 21:12:45 UTC 2026","31","chromium","bootstrap.smoke.spec.ts","","","","@smoke bootstrap — runner saudável",""
"failed","Sat May 02 21:12:37 UTC 2026","Sat May 02 21:12:42 UTC 2026","4602","firefox","a11y/pages.spec.ts","","","","@a11y home anônima sem violations serious/critical",""
"passed","Sat May 02 21:12:51 UTC 2026","Sat May 02 21:12:57 UTC 2026","5784","firefox","e2e/busca-multiplos-filtros.spec.ts","Busca com múltiplos filtros","","","@core combinar filtros time + campeonato sem erro",""
"failed","Sat May 02 21:13:02 UTC 2026","Sat May 02 21:13:03 UTC 2026","1542","webkit","a11y/pages.spec.ts","","","","@a11y melhores momentos anônima sem violations serious/critical",""
"skipped","Sat May 02 21:14:25 UTC 2026","Sat May 02 21:14:25 UTC 2026","0","chromium","performance/lighthouse.spec.ts","","","","@perf lighthouse /melhores-momentos",""
"skipped","Sat May 02 21:14:17 UTC 2026","Sat May 02 21:14:17 UTC 2026","0","firefox","e2e/calendario-page.spec.ts","/calendario — página dedicada (logado)","","","@core /calendario tem switch ""Partidas favoritas""",""
"failed","Sat May 02 21:12:36 UTC 2026","Sat May 02 21:12:37 UTC 2026","982","chromium","a11y/pages.spec.ts","","","","@a11y calendario logado sem violations serious/critical",""
"passed","Sat May 02 21:12:38 UTC 2026","Sat May 02 21:12:44 UTC 2026","5121","chromium","api/endpoint-match-inplay.spec.ts","API GET /match/?status=INPLAY","","","@api retorna 200 e envelope válido (results pode ser vazio)",""
"passed","Sat May 02 21:15:05 UTC 2026","Sat May 02 21:15:14 UTC 2026","9358","firefox","e2e/nav-tabs-anonimas.spec.ts","Nav anônima — 2 tabs","","","@smoke @core tab ""Melhores momentos"" navega para /melhores-momentos",""
"passed","Sat May 02 21:15:52 UTC 2026","Sat May 02 21:15:57 UTC 2026","5600","webkit","e2e/navegacao.spec.ts","Navegação — anônimo e logado","","","@core click no logo a partir de /melhores-momentos retorna para /",""
"passed","Sat May 02 21:12:28 UTC 2026","Sat May 02 21:12:34 UTC 2026","5933","mobile-chrome","api/endpoint-match-ended.spec.ts","API GET /match/?status=ENDED","","","@api retorna 200 e envelope paginado válido",""
"failed","Sat May 02 21:17:36 UTC 2026","Sat May 02 21:17:50 UTC 2026","14107","firefox","visual/pages.spec.ts","Visual regression","","","@visual modal de partida finalizada",""
"passed","Sat May 02 21:12:49 UTC 2026","Sat May 02 21:12:55 UTC 2026","5346","firefox","api/endpoint-perf.spec.ts","API perf — /match/?status=ENDED","","","@api responde dentro do budget hard (<10s) e idealmente <2s",""
"passed","Sat May 02 21:13:01 UTC 2026","Sat May 02 21:13:16 UTC 2026","15571","chromium","e2e/calendar-mensal.spec.ts","Calendar mensal — home widget","","","@core click em um dia clicável do calendar muda state visual",""
"passed","Sat May 02 21:12:51 UTC 2026","Sat May 02 21:13:01 UTC 2026","9618","chromium","e2e/buscar-avancado.spec.ts","Busca avançada — typeahead, combos e reset","","","@core combinar filtros time+campeonato sem erro de runtime",""
"skipped","Sat May 02 21:13:36 UTC 2026","Sat May 02 21:13:36 UTC 2026","0","chromium","e2e/notifications-panel.spec.ts","Notifications panel — sino","","","@core Sino abre painel de notificações com mensagem padrão",""
"failed","Sat May 02 21:12:27 UTC 2026","Sat May 02 21:12:28 UTC 2026","965","mobile-chrome","a11y/pages.spec.ts","","","","@a11y calendario logado sem violations serious/critical",""
